ISIN/Cusip,Fund Name,Fund Number,Transaction Type,Purchases,Sales,Holdings,Price per share,Trade Date,Currency,Entity,Comments
US5007541064,Fund 3,Fund 3,Beginning Holdings,,,38000,,11-5-2015,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Sale,,2000,,70.17,1-19-2016,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Purchase,1000,,,76.290000000000006,3-8-2016,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Purchase,1500,,,77.400000000000006,4-13-2016,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Sale,,1500,,90.375399999999999,8-11-2016,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Purchase,1000,,,87.299400000000006,2-16-2017,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Sale,,8000,,89.33,5-10-2017,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Sale,,7500,,89.472300000000004,6-20-2017,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Sale,,7000,,89.31,6-21-2017,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Sale,,7100,,88.94,6-26-2017,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Purchase,2000,,,80.988,11-29-2017,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Sale,,2400,,67.596100000000007,3-6-2018,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Sale,,1600,,56.546500000000002,5-22-2018,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Sale,,1500,,59.65,8-10-2018,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,Sale,,4900,,43.346200000000003,1-2-2019,USD,Client 1-1,
US5007541064,Fund 3,Fund 3,End Holdings,,,0,,11-5-2019,USD,Client 1-1,
US5007541064,Fund 4,Fund 4,Beginning Holdings,,,0,,11-5-2015,USD,Client 1-1,
US5007541064,Fund 4,Fund 4,Purchase,25000,,,30.729199999999999,7-10-2019,USD,Client 1-1,
US5007541064,Fund 4,Fund 4,Purchase,25000,,,32.701500000000003,8-1-2019,USD,Client 1-1,
US5007541064,Fund 4,Fund 4,Sale,,50000,,27.953499999999998,8-8-2019,USD,Client 1-1,
US5007541064,Fund 4,Fund 4,End Holdings,,,0,,11-5-2019,USD,Client 1-1,
US5007541064,Fund 7,Fund 7,Beginning Holdings,,,0,,11-5-2015,USD,Client 1-2,
US5007541064,Fund 7,Fund 7,Purchase,2900,,,35.049199999999999,2-22-2019,USD,Client 1-2,
US5007541064,Fund 7,Fund 7,Purchase,3400,,,35.049199999999999,2-22-2019,USD,Client 1-2,
US5007541064,Fund 7,Fund 7,Sale,,6300,,32.025700000000001,5-2-2019,USD,Client 1-2,
US5007541064,Fund 7,Fund 7,End Holdings,,,0,,11-5-2019,USD,Client 1-2,
US5007541064,Fund 8,Fund 8,Beginning Holdings,,,58300,,11-5-2015,USD,Client 1-2,
US5007541064,Fund 8,Fund 8,Sale,,11000,,69.585899999999995,1-20-2016,USD,Client 1-2,
US5007541064,Fund 8,Fund 8,Sale,,20000,,58.691899999999997,5-16-2018,USD,Client 1-2,
US5007541064,Fund 8,Fund 8,Sale,,27300,,31.890799999999999,3-12-2019,USD,Client 1-2,
US5007541064,Fund 8,Fund 8,End Holdings,,,0,,11-5-2019,USD,Client 1-2,
US5007541064,Fund 9,Fund 9,Beginning Holdings,,,58300,,11-5-2015,USD,Client 1-2,
US5007541064,Fund 9,Fund 9,End Holdings,,,58300,,11-5-2019,USD,Client 1-2,
US5007541064,Fund 11,Fund 11,Beginning Holdings,,,5700,,11-5-2015,USD,Client 1-2,
US5007541064,Fund 11,Fund 11,Purchase,4854,,,70.766999999999996,12-10-2015,USD,Client 1-2,
US5007541064,Fund 11,Fund 11,Sale,,554,,72.952100000000002,1-5-2016,USD,Client 1-2,
US5007541064,Fund 11,Fund 11,Sale,,250,,76.813999999999993,1-29-2016,USD,Client 1-2,
US5007541064,Fund 11,Fund 11,Sale,,631,,77.598399999999998,3-1-2016,USD,Client 1-2,
US5007541064,Fund 11,Fund 11,Sale,,210,,78.334299999999999,3-31-2016,USD,Client 1-2,
US5007541064,Fund 11,Fund 11,Sale,,9,,78.069999999999993,5-2-2016,USD,Client 1-2,
US5007541064,Fund 11,Fund 11,Sale,,400,,83.09,6-1-2016,USD,Client 1-2,
US5007541064,Fund 11,Fund 11,Sale,,410,,88.58,7-1-2016,USD,Client 1-2,
US5007541064,Fund 11,Fund 11,Purchase,900,,,85.913300000000007,7-27-2016,USD,Client 1-2,
US5007541064,Fund 11,Fund 11,Sale,,1840,,89.57,9-1-2016,USD,Client 1-2,
